Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2025-08-29T17:41:00.000Z,"6,456.85","6,456.88","6,455.89","6,455.98",-0.0138,-0.0142,31
2025-08-29T17:42:00.000Z,"6,455.96","6,456.61","6,455.07","6,455.34",-0.0099,-0.0103,31
2025-08-29T17:43:00.000Z,"6,455.33","6,455.61","6,455.14","6,455.50",0.0025,0.0021,26
2025-08-29T17:44:00.000Z,"6,455.49","6,456.51","6,455.46","6,456.37",0.0135,0.0131,33
2025-08-29T17:45:00.000Z,"6,456.43","6,458.01","6,456.37","6,458.00",0.0252,0.0248,30
2025-08-29T17:46:00.000Z,"6,458.04","6,458.43","6,458.00","6,458.09",0.0014,0.001,24
2025-08-29T17:47:00.000Z,"6,458.21","6,458.47","6,457.69","6,458.10",0.0002,-0.0003,26
2025-08-29T17:48:00.000Z,"6,458.05","6,459.41","6,457.80","6,459.28",0.0183,0.0179,37
2025-08-29T17:49:00.000Z,"6,459.25","6,459.33","6,458.48","6,458.64",-0.0099,-0.0103,29
2025-08-29T17:50:00.000Z,"6,458.65","6,459.33","6,458.15","6,459.03",0.006,0.0056,28
2025-08-29T17:51:00.000Z,"6,458.94","6,461.20","6,458.94","6,461.20",0.0336,0.0332,31
2025-08-29T17:52:00.000Z,"6,461.26","6,462.51","6,461.17","6,462.16",0.0149,0.0145,31
2025-08-29T17:53:00.000Z,"6,462.21","6,462.71","6,461.37","6,461.41",-0.0116,-0.012,40
2025-08-29T17:54:00.000Z,"6,461.37","6,461.78","6,460.04","6,460.53",-0.0136,-0.014,29
2025-08-29T17:55:00.000Z,"6,460.55","6,461.22","6,460.53","6,460.62",0.0014,0.001,25
2025-08-29T17:56:00.000Z,"6,460.70","6,461.27","6,460.36","6,460.36",-0.004,-0.0044,30
2025-08-29T17:57:00.000Z,"6,460.37","6,460.45","6,458.44","6,458.44",-0.0297,-0.0301,33
2025-08-29T17:58:00.000Z,"6,458.41","6,460.15","6,456.92","6,458.57",0.002,0.0016,49
2025-08-29T17:59:00.000Z,"6,458.55","6,459.50","6,458.34","6,459.50",0.0144,0.014,26
2025-08-29T18:00:00.000Z,"6,459.54","6,459.55","6,457.35","6,457.37",-0.033,-0.0334,35
2025-08-29T18:01:00.000Z,"6,457.33","6,458.01","6,456.16","6,456.26",-0.0172,-0.0176,35
2025-08-29T18:02:00.000Z,"6,456.35","6,456.95","6,456.35","6,456.59",0.0051,0.0047,30
2025-08-29T18:03:00.000Z,"6,456.65","6,457.48","6,456.15","6,457.12",0.0082,0.0078,32
2025-08-29T18:04:00.000Z,"6,457.14","6,457.14","6,455.81","6,455.81",-0.0203,-0.0207,29
2025-08-29T18:05:00.000Z,"6,455.70","6,456.18","6,455.39","6,455.67",-0.0022,-0.0026,28
2025-08-29T18:06:00.000Z,"6,455.69","6,457.43","6,455.58","6,457.43",0.0273,0.0269,40
2025-08-29T18:07:00.000Z,"6,457.37","6,458.04","6,457.37","6,457.81",0.0059,0.0055,31
2025-08-29T18:08:00.000Z,"6,457.82","6,458.92","6,457.79","6,458.62",0.0125,0.0121,35
2025-08-29T18:09:00.000Z,"6,458.68","6,459.44","6,458.54","6,459.41",0.0122,0.0118,28
2025-08-29T18:10:00.000Z,"6,459.35","6,459.95","6,458.20","6,459.69",0.0043,0.0039,34
2025-08-29T18:11:00.000Z,"6,459.67","6,459.76","6,458.78","6,458.92",-0.0119,-0.0123,27
2025-08-29T18:12:00.000Z,"6,458.93","6,459.87","6,458.13","6,458.23",-0.0107,-0.0111,33
2025-08-29T18:13:00.000Z,"6,458.19","6,458.19","6,457.32","6,457.92",-0.0048,-0.0052,34
2025-08-29T18:14:00.000Z,"6,457.90","6,458.05","6,457.64","6,458.05",0.002,0.0016,27
2025-08-29T18:15:00.000Z,"6,458.19","6,458.96","6,457.63","6,458.82",0.0119,0.0115,38
2025-08-29T18:16:00.000Z,"6,458.80","6,459.47","6,458.47","6,459.14",0.005,0.0045,28
2025-08-29T18:17:00.000Z,"6,459.11","6,459.47","6,458.14","6,458.43",-0.011,-0.0114,31
2025-08-29T18:18:00.000Z,"6,458.40","6,458.47","6,457.58","6,457.77",-0.0102,-0.0106,28
